nom_produit,lien_produit,Description,img_produit
Vanilla Carabacco 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14075-vanilla-carabacco-100ml-tobacco.html,"Un liquide à base de classic, vanille et caramel, en 100ml",https://assets.aromes-et-liquides.fr/41535-thickbox_default/vanilla-carabacco-100ml-tobacco.jpg
Deluxe Vanilla Custard...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14322-deluxe-vanilla-custard-100ml.html,Un e liquide 100ml saveur crème à la vanille,https://assets.aromes-et-liquides.fr/42467-thickbox_default/deluxe-vanilla-custard-100ml.jpg
Bisou V2 Swoke,https://www.aromes-et-liquides.fr/e-liquide-swoke/1722-e-liquide-bisou-v2-par-swoke.html,"Un combo de fruits rouges, menthe et bubble gum !",https://assets.aromes-et-liquides.fr/54464-thickbox_default/e-liquide-bisou-v2-par-swoke.jpg
La Chose 50ml Le French...,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/4833-e-liquide-la-chose-50ml-par-le-french-liquide.html,"Café, vanille, caramel et fruits à coque !",https://assets.aromes-et-liquides.fr/45125-thickbox_default/e-liquide-la-chose-50ml-par-le-french-liquide.jpg
Bloody Summer Fruizee,https://www.aromes-et-liquides.fr/e-liquide-fruizee/4857-e-liquide-fruizee-bloody-summer-par-eliquid-france.html,"Un mix frais saveur de fruits rouges, de raisins blancs et de cassis",https://assets.aromes-et-liquides.fr/54550-thickbox_default/e-liquide-fruizee-bloody-summer-par-eliquid-france.jpg
Candy Fraise Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1479-e-liquide-candy-fraise-alfaliquid-10ml.html,Le goût des bonbons à la fraise dans un e-liquide prêt à vaper !,https://assets.aromes-et-liquides.fr/55028-thickbox_default/e-liquide-candy-fraise-alfaliquid-10ml.jpg
Réglisse Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1499-e-liquide-reglisse-alfaliquid-10ml.html,Toutes les saveurs d'un bonbon au réglisse,https://assets.aromes-et-liquides.fr/55031-thickbox_default/e-liquide-reglisse-alfaliquid-10ml.jpg
Candy Floss Strawberry...,https://www.aromes-et-liquides.fr/e-liquide-kingston/15110-candy-floss-strawberry-100ml-sweet.html,Barbe à papa et fraises dans un e-liquide à booster,https://assets.aromes-et-liquides.fr/44885-thickbox_default/candy-floss-strawberry-100ml-sweet.jpg
Cookie Dough 200ml Joe's Juice,https://www.aromes-et-liquides.fr/e-liquide-joe-s-juice/12743-cookie-dough-200-ml.html,Une bonne dose de gourmandise dans un e-liquide au format XXL,https://assets.aromes-et-liquides.fr/42182-thickbox_default/cookie-dough-200-ml.jpg
Candy Banane Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1413-e-liquide-candy-banane.html,Une saveur de  bonbon au goût de banane dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/55018-thickbox_default/e-liquide-candy-banane.jpg
Cherry Gum 100ml Sweets...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14692-cherry-gum-100ml-sweets.html,Un chewing-gum au goût de cerise,https://assets.aromes-et-liquides.fr/43724-thickbox_default/cherry-gum-100ml-sweets.jpg
Riggs Cop Juice Eliquid France,https://www.aromes-et-liquides.fr/e-liquide-cop-juice/6322-e-liquide-cop-juice-riggs-par-eliquid-france.html,Les saveurs complexes d'un pop-corn caramélisé avec des céréales custard dans un prêt à vaper !,https://assets.aromes-et-liquides.fr/54940-thickbox_default/e-liquide-cop-juice-riggs-par-eliquid-france.jpg
Pop Corn Toffee Caramel...,https://www.aromes-et-liquides.fr/e-liquide-biggy-bear/16337-pop-corn-toffee-caramel-200ml.html,"Un mélange de popcorn, caramel et crème vanillée",https://assets.aromes-et-liquides.fr/48543-thickbox_default/pop-corn-toffee-caramel-200ml.jpg
