nom_produit,url_produit,img_produit
Citron Givré 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8023-e-liquide-citron-givre-50-ml.html,https://www.lepetitvapoteur.com/28503-large/e-liquide-citron-givre-50-ml.jpg?v=111
Classic Menthe 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8026-e-liquide-classic-menthe-50-ml.html,https://www.lepetitvapoteur.com/28506-large/e-liquide-classic-menthe-50-ml.jpg?v=111
Menthe Polaire 50 ml,https://www.lepetitvapoteur.com/fr/le-petit-vapoteur/8038-e-liquide-menthe-polaire-50-ml.html,https://www.lepetitvapoteur.com/28511-large/e-liquide-menthe-polaire-50-ml.jpg?v=111
PULP Menthe Eucalyptus,https://www.lepetitvapoteur.com/fr/pulp/8088-e-liquide-pulp-menthe-eucalyptus.html,https://www.lepetitvapoteur.com/47874-large/e-liquide-pulp-menthe-eucalyptus.jpg?v=111
Le Petit Full Moon 50 ml,https://www.lepetitvapoteur.com/fr/lpv-and-friends/8073-e-liquide-le-petit-full-moon-50-ml.html,https://www.lepetitvapoteur.com/28743-large/e-liquide-le-petit-full-moon-50-ml.jpg?v=111
Summer Beach King Size Fruizee,https://www.lepetitvapoteur.com/fr/fruizee/8137-e-liquide-summer-time-king-size-fruizee.html,https://www.lepetitvapoteur.com/28777-large/e-liquide-summer-time-king-size-fruizee.jpg?v=111
Cassiopée Edition collector 200 ml,https://www.lepetitvapoteur.com/fr/curieux/8250-e-liquide-cassiopee-edition-collector-200-ml.html,https://www.lepetitvapoteur.com/29164-large/e-liquide-cassiopee-edition-collector-200-ml.jpg?v=111
Medium Polaris 50 ml,https://www.lepetitvapoteur.com/fr/polaris/8279-e-liquide-polaris-50-ml.html,https://www.lepetitvapoteur.com/46503-large/e-liquide-polaris-50-ml.jpg?v=111
Intense Polaris 50 ml,https://www.lepetitvapoteur.com/fr/polaris/8280-e-liquide-intense-polaris-50-ml.html,https://www.lepetitvapoteur.com/46504-large/e-liquide-intense-polaris-50-ml.jpg?v=111
Berry Mix Polaris 50 ml,https://www.lepetitvapoteur.com/fr/polaris/8283-e-liquide-berry-mix-polaris-50-ml.html,https://www.lepetitvapoteur.com/46507-large/e-liquide-berry-mix-polaris-50-ml.jpg?v=111
Yellow ENFER 50 ml,https://www.lepetitvapoteur.com/fr/enfer-/8290-e-liquide-yellow-enfer-50-ml.html,https://www.lepetitvapoteur.com/44728-large/e-liquide-yellow-enfer-50-ml.jpg?v=111
Red ENFER 50 ml,https://www.lepetitvapoteur.com/fr/enfer-/8291-e-liquide-red-enfer-50-ml.html,https://www.lepetitvapoteur.com/44727-large/e-liquide-red-enfer-50-ml.jpg?v=111
Pink ENFER 50 ml,https://www.lepetitvapoteur.com/fr/enfer-/8292-e-liquide-pink-enfer-50-ml.html,https://www.lepetitvapoteur.com/44726-large/e-liquide-pink-enfer-50-ml.jpg?v=111
Citron Vert Flavour Power,https://www.lepetitvapoteur.com/fr/flavour-power/8349-e-liquide-citron-vert-flavour-power.html,https://www.lepetitvapoteur.com/47540-large/e-liquide-citron-vert-flavour-power.jpg?v=111
Phoenix Ultimate,https://www.lepetitvapoteur.com/fr/ultimate/8538-phoenix-ultimate.html,https://www.lepetitvapoteur.com/47510-large/phoenix-ultimate.jpg?v=111
Valkyrie Ultimate,https://www.lepetitvapoteur.com/fr/ultimate/8539-valkyrie-ultimate.html,https://www.lepetitvapoteur.com/47511-large/valkyrie-ultimate.jpg?v=111
Ragnarok Ultimate aux Sels de nicotine,https://www.lepetitvapoteur.com/fr/ultimate/8540-ragnarok-ultimate-sels-de-nicotine.html,https://www.lepetitvapoteur.com/47512-large/ragnarok-ultimate-sels-de-nicotine.jpg?v=111
Ragnarok Ultimate 50 ml,https://www.lepetitvapoteur.com/fr/ultimate/8548-e-liquide-ultimate-ragnarok-50-ml.html,https://www.lepetitvapoteur.com/31881-large/e-liquide-ultimate-ragnarok-50-ml.jpg?v=111
Oni Ultimate 50 ml,https://www.lepetitvapoteur.com/fr/ultimate/8549-e-liquide-oni-ultimate-50-ml.html,https://www.lepetitvapoteur.com/31879-large/e-liquide-oni-ultimate-50-ml.jpg?v=111
Phoenix Ultimate 50 ml,https://www.lepetitvapoteur.com/fr/ultimate/8550-e-liquide-phoenix-ultimate-50-ml.html,https://www.lepetitvapoteur.com/31880-large/e-liquide-phoenix-ultimate-50-ml.jpg?v=111
Valkyrie Ultimate 50 ml,https://www.lepetitvapoteur.com/fr/ultimate/8551-e-liquide-ultimate-50-ml.html,https://www.lepetitvapoteur.com/31877-large/e-liquide-ultimate-50-ml.jpg?v=111
Blue Raspberry Aisu Zap Juice 50 ml,https://www.lepetitvapoteur.com/fr/aisu/8627-e-liquide-blue-raspberry-aisu-zap-juice-50-ml.html,https://www.lepetitvapoteur.com/30395-large/e-liquide-blue-raspberry-aisu-zap-juice-50-ml.jpg?v=111
Cucumber Aisu Zap Juice 50 ml,https://www.lepetitvapoteur.com/fr/aisu/8628-e-liquide-cucumber-aisu-zap-juice-50-ml.html,https://www.lepetitvapoteur.com/30396-large/e-liquide-cucumber-aisu-zap-juice-50-ml.jpg?v=111
Pink Guava Aisu Zap Juice 50 ml,https://www.lepetitvapoteur.com/fr/aisu/8630-e-liquide-pink-guava-aisu-zap-juice-50-ml.html,https://www.lepetitvapoteur.com/30397-large/e-liquide-pink-guava-aisu-zap-juice-50-ml.jpg?v=111
Dragon Fruit Aisu Zap Juice 50 ml,https://www.lepetitvapoteur.com/fr/aisu/8653-e-liquide-dragon-fruit-aisu-zap-juice-50-ml.html,https://www.lepetitvapoteur.com/30510-large/e-liquide-dragon-fruit-aisu-zap-juice-50-ml.jpg?v=111
Aloe Vera Aisu Zap Juice 50 ml,https://www.lepetitvapoteur.com/fr/aisu/8362-aloe-vera-aisu-zap-juice-50-ml.html,https://www.lepetitvapoteur.com/29432-large/aloe-vera-aisu-zap-juice-50-ml.jpg?v=111
Lava Drops Furiosa 40 ml,https://www.lepetitvapoteur.com/fr/furiosa/4699-e-liquide-lava-drops-40-ml-par-furiosa.html,https://www.lepetitvapoteur.com/19442-large/e-liquide-lava-drops-40-ml-par-furiosa.jpg?v=111
Drogo Furiosa Skinz 80 ml,https://www.lepetitvapoteur.com/fr/furiosa/8082-e-liquide-drogo-furiosa-skinz-80-ml.html,https://www.lepetitvapoteur.com/28611-large/e-liquide-drogo-furiosa-skinz-80-ml.jpg?v=111
Rediz Dead The Fuu,https://www.lepetitvapoteur.com/fr/the-fuu/1164-e-liquide-rediz-dead.html,https://www.lepetitvapoteur.com/47698-large/e-liquide-rediz-dead.jpg?v=111
Solid Helium The Fuu,https://www.lepetitvapoteur.com/fr/the-fuu/1175-e-liquide-solid-helium.html,https://www.lepetitvapoteur.com/47699-large/e-liquide-solid-helium.jpg?v=111
